args.feature_dim:  251
Dataset Wisconsin: num_nodes=251, feature_dim=1703, num_classes=5
params:  15623269
[split 4] Epoch 070, Loss: 0.4039, Val Acc: 0.7750, Test Acc: 0.8627, Test Pre: 0.8703, Test F1: 0.8542
[split 4] Epoch 080, Loss: 0.4014, Val Acc: 0.7750, Test Acc: 0.8627, Test Pre: 0.8703, Test F1: 0.8542
[split 4] Epoch 090, Loss: 0.3997, Val Acc: 0.7750, Test Acc: 0.8627, Test Pre: 0.8703, Test F1: 0.8542
[split 4] Epoch 100, Loss: 0.3985, Val Acc: 0.7750, Test Acc: 0.8431, Test Pre: 0.8591, Test F1: 0.8350
[split 4] Epoch 110, Loss: 0.3975, Val Acc: 0.7625, Test Acc: 0.8431, Test Pre: 0.8591, Test F1: 0.8350
[split 4] Epoch 120, Loss: 0.3967, Val Acc: 0.7750, Test Acc: 0.8431, Test Pre: 0.8591, Test F1: 0.8350
[split 4] Epoch 130, Loss: 0.3959, Val Acc: 0.7750, Test Acc: 0.8431, Test Pre: 0.8787, Test F1: 0.8389
[split 4] Epoch 140, Loss: 0.3952, Val Acc: 0.7750, Test Acc: 0.8431, Test Pre: 0.8787, Test F1: 0.8389
[split 4] Epoch 150, Loss: 0.3945, Val Acc: 0.7750, Test Acc: 0.8235, Test Pre: 0.8683, Test F1: 0.8194
[split 4] Epoch 160, Loss: 0.3939, Val Acc: 0.7750, Test Acc: 0.8235, Test Pre: 0.8683, Test F1: 0.8194
[split 4] Epoch 170, Loss: 0.3933, Val Acc: 0.7750, Test Acc: 0.8235, Test Pre: 0.8683, Test F1: 0.8194
[split 4] Epoch 180, Loss: 0.3928, Val Acc: 0.7750, Test Acc: 0.8235, Test Pre: 0.8683, Test F1: 0.8194
[split 4] Epoch 190, Loss: 0.3923, Val Acc: 0.7750, Test Acc: 0.8235, Test Pre: 0.8683, Test F1: 0.8194
[split 4] Epoch 200, Loss: 0.3918, Val Acc: 0.7750, Test Acc: 0.8235, Test Pre: 0.8683, Test F1: 0.8194
[split 4] Epoch 210, Loss: 0.3914, Val Acc: 0.7625, Test Acc: 0.8235, Test Pre: 0.8683, Test F1: 0.8194
[split 4] Epoch 220, Loss: 0.3911, Val Acc: 0.7625, Test Acc: 0.8235, Test Pre: 0.8683, Test F1: 0.8194
[split 4] Epoch 230, Loss: 0.3908, Val Acc: 0.7625, Test Acc: 0.8235, Test Pre: 0.8683, Test F1: 0.8194
[split 4] Epoch 240, Loss: 0.3906, Val Acc: 0.7625, Test Acc: 0.8235, Test Pre: 0.8683, Test F1: 0.8194
[split 4] Epoch 250, Loss: 0.3904, Val Acc: 0.7625, Test Acc: 0.8235, Test Pre: 0.8683, Test F1: 0.8194
